fips,county,num-1990-all,num-2015-all,num-1990-1025,num-2015-1025,num-1990-1021,num-2015-1021,num-1990-1024,num-2015-1024,num-1990-1026,num-2015-1026,num-1990-1013,num-2015-1013,num-1990-1023,num-2015-1023,num-1990-1028,num-2015-1028,num-1990-1012,num-2015-1012,num-1990-1027,num-2015-1027,num-1990-1022,num-2015-1022,num-1990-1011,num-2015-1011,pct-1990-1025,pct-2015-1025,pct-diff-1025,pct-1990-1021,pct-2015-1021,pct-diff-1021,pct-1990-1024,pct-2015-1024,pct-diff-1024,pct-1990-1026,pct-2015-1026,pct-diff-1026,pct-1990-1013,pct-2015-1013,pct-diff-1013,pct-1990-1023,pct-2015-1023,pct-diff-1023,pct-1990-1028,pct-2015-1028,pct-diff-1028,pct-1990-1012,pct-2015-1012,pct-diff-1012,pct-1990-1027,pct-2015-1027,pct-diff-1027,pct-1990-1022,pct-2015-1022,pct-diff-1022,pct-1990-1011,pct-2015-1011,pct-diff-1011
US000,US,108603565,139491699,19525655,32596279,23925178,27934780,10652816,19798037,9673195,15576390,17913919,12339633,6895792,7906393,6372028,7242529,5386716,6603670,3515068,4348055,2900381,2897488,1756739,2007987,17.9788343,23.36789876,5.389064455,22.02982747,20.02612356,-2.003703912,9.80890084,14.19298578,4.384084937,8.906885331,11.16653544,2.259650106,16.49477989,8.846141447,-7.648638444,6.349507956,5.66800251,-0.681505446,5.867236494,5.192086018,-0.675150477,4.959980826,4.734095324,-0.225885501,3.236604618,3.117070787,-0.119533831,2.670613069,2.077175933,-0.593437136,1.617570289,1.439502862,-0.178067426
01000,Alabama,1600920,1890340,285931,418926,347429,399022,118128,231661,109113,195958,365111,257838,79024,94603,107986,123745,84135,81718,43832,45707,32373,22349,27330,18710,17.86041776,22.16141012,4.300992357,21.70183395,21.10847784,-0.593356106,7.378757215,12.25499117,4.876233951,6.815643505,10.36628331,3.550639809,22.80632386,13.63976851,-9.166555357,4.936161707,5.004549446,0.068387739,6.745246483,6.546176878,-0.199069605,5.255415636,4.322926034,-0.932489602,2.737925693,2.417924818,-0.320000875,2.022149764,1.182274088,-0.839875676,1.707143393,0.989769036,-0.717374356
02000,Alaska,233887,331681,40011,75151,52379,68262,19192,30608,22118,36130,14008,14041,11081,12107,34787,41596,9802,17871,8598,10086,5191,6316,14511,18239,17.10697901,22.65761379,5.55063478,22.39500271,20.58061812,-1.814384591,8.20567197,9.228143909,1.02247194,9.456703451,10.89299658,1.436293133,5.989217015,4.233284391,-1.755932624,4.737757977,3.650194012,-1.087563965,14.87342178,12.54096557,-2.332456214,4.190912706,5.388008357,1.197095652,3.676134202,3.04087361,-0.635260591,2.219447853,1.904239314,-0.315208539,6.204278134,5.498958336,-0.705319798
04000,Arizona,1498750,2609770,236976,572528,335646,523906,140847,397592,167753,318053,179077,157512,100918,190851,86286,150739,89477,129389,56057,71968,34737,46352,36018,38262,15.81157631,21.93787192,6.126295606,22.39506255,20.07479586,-2.320266689,9.397631359,15.23475249,5.837121128,11.19286072,12.18701265,0.994151931,11.94842369,6.03547439,-5.912949296,6.733477898,7.312943286,0.579465388,5.757197665,5.775949605,0.01875194,5.970108424,4.957869851,-1.012238573,3.740250209,2.757637646,-0.982612562,2.317731443,1.776095211,-0.541636231,2.403202669,1.466106209,-0.93709646
05000,Arkansas,898947,1177884,172005,292013,205185,257525,54718,141471,66425,115060,219359,154876,38995,48392,36115,55798,38319,49218,24016,24097,18370,15041,18402,18669,19.13405351,24.79132071,5.657267198,22.82503863,21.86335836,-0.961680267,6.08689945,12.01060546,5.923706008,7.389200921,9.768364287,2.379163367,24.4017723,13.1486632,-11.2531091,4.337853066,4.108384187,-0.229468879,4.017478227,4.737138801,0.719660574,4.262653972,4.178509938,-0.084144034,2.671570182,2.045787191,-0.62578299,2.043502008,1.276950871,-0.766551137,2.047061729,1.584960828,-0.462100901
06000,California,13262696,16295204,2090396,3647451,2756115,3069579,1465753,2499234,1220663,1895892,2069956,1284298,883668,798761,697149,812967,704256,736158,474504,517389,434525,495900,411982,447507,15.76147112,22.38358599,6.622114871,20.78095585,18.83731557,-1.943640279,11.05169718,15.33723665,4.285539468,9.203732032,11.63466257,2.430930535,15.60735464,7.881447817,-7.725906826,6.662808225,4.90181651,-1.760991715,5.256465201,4.988995535,-0.267469666,5.310051591,4.517635987,-0.792415605,3.57773412,3.175099864,-0.402634256,3.276294654,3.043226706,-0.233067947,3.106321671,2.746249755,-0.360071915
08000,Colorado,1502679,2494450,257368,525684,319610,462021,182246,399979,188963,318958,160604,141196,105050,154668,91284,143519,66717,151760,48546,75813,53316,73211,27251,46217,17.12727735,21.0741446,3.946867252,21.26934628,18.52195875,-2.747387532,12.1280726,16.03475716,3.906684565,12.57507425,12.78670649,0.211632238,10.68784484,5.660406102,-5.027438741,6.990847679,6.200485077,-0.790362603,6.074750496,5.753532843,-0.321217653,4.439870391,6.083906272,1.64403588,3.230630095,3.039267173,-0.191362922,3.548063159,2.934955601,-0.613107558,1.813494432,1.852793201,0.039298769
09000,Connecticut,1618333,1662825,291090,454638,333112,307236,172430,218471,114576,170541,300527,159226,154254,128662,62867,58450,66970,62015,69567,61786,45023,35390,5315,5444,17.98702739,27.3413017,9.354274309,20.58364997,18.47674891,-2.10690106,10.65479107,13.13854434,2.483753273,7.079877874,10.25610031,3.176222437,18.5701583,9.575631831,-8.994526474,9.531660048,7.737555064,-1.794104983,3.884676392,3.515102311,-0.369574081,4.138208885,3.729496489,-0.408712396,4.298682657,3.715724746,-0.582957911,2.782060305,2.128305745,-0.653754561,0.328424372,0.327394645,-0.001029728
10000,Delaware,342013,433748,57935,106054,67529,82047,59488,60159,27962,48700,46006,27033,27289,46657,14508,13972,23098,22272,9571,11663,4970,4714,1667,1523,16.93941458,24.45060265,7.51118807,19.74457111,18.91582209,-0.828749023,17.39349089,13.86957404,-3.523916852,8.175712619,11.22771748,3.052004857,13.45153547,6.232420668,-7.2191148,7.978936473,10.75670666,2.777770186,4.24194402,3.221225228,-1.020718792,6.753544456,5.134778719,-1.618765736,2.798431639,2.688888479,-0.10954316,1.453161137,1.086806164,-0.366354973,0.487408373,0.351125538,-0.136282835
11000,District of Columbia,669156,743596,80941,125446,49546,40592,114274,164909,54838,79194,13471,4175,37737,29583,201055,192603,13601,14616,44830,67416,30793,20333,267,null,12.0959836,16.8701822,4.774198598,7.404252521,5.458878208,-1.945374313,17.07733324,22.17723065,5.099897409,8.195099498,10.65013798,2.45503848,2.013132962,0.561460793,-1.451672168,5.639492136,3.978369975,-1.661122161,30.04605802,25.90156483,-4.144493191,2.032560419,1.965583462,-0.066976957,6.699484126,9.066213374,2.366729248,4.601767002,2.734414924,-1.867352078,null,null,null
